2026/09/11 06:18:29.169, 1, 34, 210 MHz, 10.58 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:29.169, 2, 34, 210 MHz, 10.33 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:29.169, 3, 34, 210 MHz, 8.06 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:31.170, 0, 34, 210 MHz, 7.13 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:31.170, 1, 34, 210 MHz, 10.58 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:31.170, 2, 34, 210 MHz, 10.29 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:31.170, 3, 34, 210 MHz, 8.08 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:33.170, 0, 34, 210 MHz, 6.84 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:33.170, 1, 34, 210 MHz, 10.63 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:33.170, 2, 34, 210 MHz, 10.22 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:33.170, 3, 34, 210 MHz, 8.10 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:35.170, 0, 34, 210 MHz, 7.11 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:35.170, 1, 34, 210 MHz, 10.57 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:35.170, 2, 34, 210 MHz, 10.16 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:35.170, 3, 34, 210 MHz, 8.10 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:37.171, 0, 34, 210 MHz, 7.13 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:37.171, 1, 34, 210 MHz, 10.50 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:37.171, 2, 34, 210 MHz, 10.03 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:37.171, 3, 34, 210 MHz, 8.11 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:39.171, 0, 34, 210 MHz, 6.80 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:39.171, 1, 34, 210 MHz, 10.54 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:39.171, 2, 33, 210 MHz, 10.21 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:39.171, 3, 34, 210 MHz, 8.11 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:41.171, 0, 34, 210 MHz, 7.23 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:41.171, 1, 34, 210 MHz, 10.54 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:41.171, 2, 33, 210 MHz, 10.15 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:41.172, 3, 34, 210 MHz, 8.22 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:43.172, 0, 34, 210 MHz, 7.05 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:18:43.172, 1, 34, 210 MHz, 10.57 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
