epoch	lr	train_loss	top1_n	top1	top5	val_loss	train_s	val_s
175	0.000104	3.3024	40286	0.8057	0.9534	0.841	899.0	17.6
176	0.000103	3.2959	40327	0.8065	0.9534	0.8405	899.2	17.6
177	0.000101	3.3003	40361	0.8072	0.953	0.8405	899.0	17.8
178	0.0001	3.2886	40373	0.8075	0.9539	0.8398	899.3	17.6
179	9.9e-05	3.2863	40369	0.8074	0.954	0.8394	898.9	17.7
180	9.7e-05	3.2869	40406	0.8081	0.9537	0.8389	899.1	17.6
181	9.6e-05	3.2794	40386	0.8077	0.9541	0.8376	899.1	17.7
182	9.4e-05	3.2772	40364	0.8073	0.9541	0.8374	898.8	17.6
183	9.3e-05	3.2647	40358	0.8072	0.9539	0.8368	899.0	17.8
184	9.2e-05	3.2588	40356	0.8071	0.9538	0.8363	898.7	17.6
185	9e-05	3.2575	40363	0.8073	0.9543	0.8359	900.4	17.7
186	8.9e-05	3.2662	40379	0.8076	0.9542	0.8355	899.7	17.6
187	8.8e-05	3.263	40409	0.8082	0.9539	0.8343	899.5	17.7
188	8.6e-05	3.2513	40394	0.8079	0.9543	0.8337	899.4	17.6
189	8.5e-05	3.2326	40457	0.8091	0.9542	0.8324	899.4	17.8
190	8.4e-05	3.2348	40472	0.8094	0.9546	0.8323	899.3	17.6
191	8.2e-05	3.2382	40431	0.8086	0.9544	0.8339	899.3	17.6
192	8.1e-05	3.2266	40422	0.8084	0.9544	0.8333	898.9	17.6
193	8e-05	3.2417	40409	0.8082	0.9547	0.8321	898.9	17.6
194	7.8e-05	3.2185	40473	0.8095	0.9543	0.8308	898.9	17.9
195	7.7e-05	3.2072	40444	0.8089	0.9548	0.8299	898.9	17.6
196	7.6e-05	3.2107	40516	0.8103	0.9548	0.8285	898.8	17.7
197	7.5e-05	3.2194	40486	0.8097	0.9547	0.8285	898.9	17.6
198	7.3e-05	3.2063	40475	0.8095	0.9546	0.8294	898.7	17.7
199	7.2e-05	3.2024	40494	0.8099	0.9544	0.8284	898.1	17.6
200	7.1e-05	3.1911	40460	0.8092	0.9547	0.8284	899.3	17.8
201	7e-05	3.1818	40461	0.8092	0.955	0.8277	899.0	17.6
202	6.8e-05	3.1902	40453	0.8091	0.9551	0.828	898.8	17.7
203	6.7e-05	3.1833	40536	0.8107	0.9548	0.827	898.9	17.6
204	6.6e-05	3.1808	40538	0.8108	0.9546	0.8269	898.9	17.7
205	6.5e-05	3.1567	40537	0.8107	0.9546	0.8259	899.2	17.8
206	6.3e-05	3.1631	40505	0.8101	0.9547	0.826	898.7	17.6
207	6.2e-05	3.1635	40505	0.8101	0.9549	0.8253	899.0	17.6
208	6.1e-05	3.1654	40565	0.8113	0.9548	0.825	898.8	17.7
209	6e-05	3.1599	40559	0.8112	0.9547	0.8247	899.1	17.7
210	5.8e-05	3.1444	40561	0.8112	0.9543	0.8243	898.7	17.6
211	5.7e-05	3.1368	40598	0.812	0.9546	0.8239	899.0	17.9
212	5.6e-05	3.1418	40583	0.8117	0.9549	0.8238	898.0	17.6
