E0804 23:05:41.031292  593487 cuda_timer.cc:88] Delay kernel timed out: measured time has sub-optimal accuracy. There may be a missing warmup execution, please investigate in Nsight Systems.
W0804 23:05:49.776744  593458 allocator_memory_registration.cc:63] Failed to register GPU memory with clique devices=4:[0,1,2,3]; local_participants=4; communication_id=0; incarnations=[]: INTERNAL: NCCL operation ncclCommRegister(comm, addr.opaque(), addr.size(), &handle) failed: unhandled cuda error (run with NCCL_DEBUG=INFO for details). Last NCCL warning(error) log entry (may be unrelated) 'Cuda failure 500 'named symbol not found''.
ResNet-34 (ImageNet) · Lean 4 → JAX
  Conv(3→64,7x7/2)+BN → Pool(3x3) → Res3(64→64,s1) → Res4(64→128,s2) → Res6(128→256,s2) → Res3(256→512,s2) → GAP → 512→1000

ImageNet (1000-class) — tfds streaming pipeline
lr=0.100000  batch_size=256 (4 devices x 64)  epochs=90  params=21797672
steps_per_epoch=5004  total_steps=450360
backend=gpu  devices=[CudaDevice(id=0), CudaDevice(id=1), CudaDevice(id=2), CudaDevice(id=3)]
Starting training...
  step 23500/450360  loss=3.8456  lr=0.09392  (103.0ms/step avg)
  step 23600/450360  loss=3.667  lr=0.09432  (103.0ms/step avg)
  step 23700/450360  loss=3.5265  lr=0.09472  (103.0ms/step avg)
  step 23800/450360  loss=3.4829  lr=0.09512  (103.0ms/step avg)
  step 23900/450360  loss=3.7655  lr=0.09552  (103.0ms/step avg)
  step 24000/450360  loss=3.4947  lr=0.09592  (103.0ms/step avg)
  step 24100/450360  loss=3.5061  lr=0.09632  (103.0ms/step avg)
  step 24200/450360  loss=3.6523  lr=0.09672  (103.0ms/step avg)
  step 24300/450360  loss=3.6678  lr=0.09712  (103.0ms/step avg)
  step 24400/450360  loss=3.5705  lr=0.09752  (103.0ms/step avg)
  step 24500/450360  loss=3.6801  lr=0.09792  (103.0ms/step avg)
  step 24600/450360  loss=3.5713  lr=0.09832  (103.0ms/step avg)
  step 24700/450360  loss=3.6524  lr=0.09872  (103.0ms/step avg)
  step 24800/450360  loss=3.5326  lr=0.09912  (103.0ms/step avg)
  step 24900/450360  loss=3.6753  lr=0.09952  (103.0ms/step avg)
  step 25000/450360  loss=3.429  lr=0.09992  (103.0ms/step avg)
  Running validation ...
[Epoch 5] lr=0.1 loss(train_avg)=3.6619 val_top1=17313/49920 (0.3468) val_top5=0.6085 val_loss=3.0946  [504.5s train, 9.4s val]
  step 25100/450360  loss=3.5498  lr=0.1  (103.0ms/step avg)
  step 25200/450360  loss=3.6874  lr=0.1  (103.0ms/step avg)
  step 25300/450360  loss=3.4525  lr=0.1  (103.0ms/step avg)
  step 25400/450360  loss=3.6719  lr=0.1  (103.0ms/step avg)
  step 25500/450360  loss=3.4996  lr=0.1  (103.0ms/step avg)
