sigma,img_idx,delta,dg,bound,ratio
0.250000,6000,0.500000,0.000000,2.000000,0.000000
0.250000,6000,0.750000,0.000000,3.000000,0.000000
0.250000,6000,1.000000,0.000000,4.000000,0.000000
0.250000,6250,0.100000,0.000000,0.400000,0.000000
0.250000,6250,0.200000,0.000000,0.800000,0.000000
0.250000,6250,0.300000,0.000000,1.200000,0.000000
0.250000,6250,0.500000,0.000000,2.000000,0.000000
0.250000,6250,0.750000,0.000000,3.000000,0.000000
0.250000,6250,1.000000,0.000000,4.000000,0.000000
0.250000,6500,0.100000,0.000000,0.400000,0.000000
0.250000,6500,0.200000,0.000000,0.800000,0.000000
0.250000,6500,0.300000,0.000000,1.200000,0.000000
0.250000,6500,0.500000,0.000000,2.000000,0.000000
0.250000,6500,0.750000,0.000000,3.000000,0.000000
0.250000,6500,1.000000,0.000000,4.000000,0.000000
0.250000,6750,0.100000,0.000000,0.400000,0.000000
0.250000,6750,0.200000,0.000000,0.800000,0.000000
0.250000,6750,0.300000,0.000000,1.200000,0.000000
0.250000,6750,0.500000,0.000000,2.000000,0.000000
0.250000,6750,0.750000,0.000000,3.000000,0.000000
0.250000,6750,1.000000,0.000000,4.000000,0.000000
0.250000,7000,0.100000,0.000000,0.400000,0.000000
0.250000,7000,0.200000,0.000000,0.800000,0.000000
0.250000,7000,0.300000,0.000000,1.200000,0.000000
0.250000,7000,0.500000,0.000000,2.000000,0.000000
0.250000,7000,0.750000,0.000000,3.000000,0.000000
0.250000,7000,1.000000,0.000000,4.000000,0.000000
0.250000,7250,0.100000,0.000000,0.400000,0.000000
0.250000,7250,0.200000,0.000000,0.800000,0.000000
0.250000,7250,0.300000,0.000000,1.200000,0.000000
0.250000,7250,0.500000,0.000000,2.000000,0.000000
0.250000,7250,0.750000,0.000000,3.000000,0.000000
0.250000,7250,1.000000,0.000000,4.000000,0.000000
0.250000,7500,0.100000,0.000000,0.400000,0.000000
0.250000,7500,0.200000,0.000000,0.800000,0.000000
0.250000,7500,0.300000,0.000000,1.200000,0.000000
0.250000,7500,0.500000,0.000000,2.000000,0.000000
0.250000,7500,0.750000,0.000000,3.000000,0.000000
0.250000,7500,1.000000,0.000000,4.000000,0.000000
0.250000,7750,0.100000,0.000000,0.400000,0.000000
0.250000,7750,0.200000,0.000000,0.800000,0.000000
0.250000,7750,0.300000,0.000000,1.200000,0.000000
0.250000,7750,0.500000,0.000000,2.000000,0.000000
0.250000,7750,0.750000,0.000000,3.000000,0.000000
0.250000,7750,1.000000,0.000000,4.000000,0.000000
0.250000,8000,0.100000,0.000000,0.400000,0.000000
0.250000,8000,0.200000,0.000000,0.800000,0.000000
0.250000,8000,0.300000,0.000000,1.200000,0.000000
0.250000,8000,0.500000,0.000000,2.000000,0.000000
0.250000,8000,0.750000,0.000000,3.000000,0.000000
0.250000,8000,1.000000,0.000000,4.000000,0.000000
0.250000,8250,0.100000,0.000000,0.400000,0.000000
0.250000,8250,0.200000,0.000000,0.800000,0.000000
0.250000,8250,0.300000,0.000000,1.200000,0.000000
0.250000,8250,0.500000,0.000000,2.000000,0.000000
0.250000,8250,0.750000,0.000000,3.000000,0.000000
0.250000,8250,1.000000,0.000000,4.000000,0.000000
0.250000,8500,0.100000,0.000000,0.400000,0.000000
0.250000,8500,0.200000,0.000000,0.800000,0.000000
0.250000,8500,0.300000,0.000000,1.200000,0.000000
0.250000,8500,0.500000,0.000000,2.000000,0.000000
0.250000,8500,0.750000,0.000000,3.000000,0.000000
0.250000,8500,1.000000,0.000000,4.000000,0.000000
0.250000,8750,0.100000,0.000000,0.400000,0.000000
0.250000,8750,0.200000,0.000000,0.800000,0.000000
0.250000,8750,0.300000,0.000000,1.200000,0.000000
0.250000,8750,0.500000,0.000000,2.000000,0.000000
0.250000,8750,0.750000,0.000000,3.000000,0.000000
0.250000,8750,1.000000,0.000000,4.000000,0.000000
0.250000,9000,0.100000,0.000000,0.400000,0.000000
0.250000,9000,0.200000,0.000000,0.800000,0.000000
0.250000,9000,0.300000,0.000000,1.200000,0.000000
0.250000,9000,0.500000,0.000000,2.000000,0.000000
0.250000,9000,0.750000,0.000000,3.000000,0.000000
0.250000,9000,1.000000,0.000000,4.000000,0.000000
0.250000,9250,0.100000,0.000000,0.400000,0.000000
0.250000,9250,0.200000,0.000000,0.800000,0.000000
0.250000,9250,0.300000,0.000000,1.200000,0.000000
0.250000,9250,0.500000,0.000000,2.000000,0.000000
0.250000,9250,0.750000,0.000000,3.000000,0.000000
0.250000,9250,1.000000,0.000000,4.000000,0.000000
0.250000,9500,0.100000,0.052840,0.400000,0.132099
0.250000,9500,0.200000,0.033620,0.800000,0.042025
0.250000,9500,0.300000,0.071413,1.200000,0.059511
0.250000,9500,0.500000,0.176737,2.000000,0.088369
0.250000,9500,0.750000,0.065291,3.000000,0.021764
0.250000,9500,1.000000,0.083461,4.000000,0.020865
0.250000,9750,0.100000,0.000000,0.400000,0.000000
0.250000,9750,0.200000,0.000000,0.800000,0.000000
0.250000,9750,0.300000,0.000000,1.200000,0.000000
0.250000,9750,0.500000,0.000000,2.000000,0.000000
0.250000,9750,0.750000,0.000000,3.000000,0.000000
0.250000,9750,1.000000,0.000000,4.000000,0.000000
0.500000,0,0.100000,0.000000,0.200000,0.000000
0.500000,0,0.200000,0.000000,0.400000,0.000000
0.500000,0,0.300000,0.000000,0.600000,0.000000
0.500000,0,0.500000,0.000000,1.000000,0.000000
0.500000,0,0.750000,0.000000,1.500000,0.000000
0.500000,0,1.000000,0.000000,2.000000,0.000000
0.500000,250,0.100000,0.058805,0.200000,0.294027
0.500000,250,0.200000,0.021523,0.400000,0.053808
0.500000,250,0.300000,0.057086,0.600000,0.095143
0.500000,250,0.500000,0.135221,1.000000,0.135221
0.500000,250,0.750000,0.074391,1.500000,0.049594
0.500000,250,1.000000,0.019557,2.000000,0.009778
0.500000,500,0.100000,0.000000,0.200000,0.000000
0.500000,500,0.200000,0.000000,0.400000,0.000000
0.500000,500,0.300000,0.000000,0.600000,0.000000
0.500000,500,0.500000,0.000000,1.000000,0.000000
0.500000,500,0.750000,0.000000,1.500000,0.000000
0.500000,500,1.000000,0.000000,2.000000,0.000000
0.500000,750,0.100000,0.000000,0.200000,0.000000
