ts,card,edge_C,junction_C,mem_C,sclk_MHz,power_W,use_pct
2026-07-01 18:50:51,card1,58.0,80.0,74.0,2724,289.0,100
2026-07-01 18:51:21,card0,68.0,85.0,86.0,2735,294.0,100
2026-07-01 18:51:21,card1,58.0,80.0,74.0,2602,285.0,100
2026-07-01 18:51:51,card0,68.0,85.0,86.0,2865,302.0,100
2026-07-01 18:51:51,card1,58.0,80.0,74.0,2770,315.0,100
2026-07-01 18:52:21,card0,68.0,85.0,86.0,2884,375.0,100
2026-07-01 18:52:21,card1,58.0,80.0,74.0,2788,302.0,100
2026-07-01 18:52:51,card0,68.0,85.0,86.0,2756,267.0,100
2026-07-01 18:52:51,card1,58.0,80.0,74.0,2782,296.0,100
2026-07-01 18:53:22,card0,68.0,85.0,86.0,2874,341.0,100
2026-07-01 18:53:22,card1,58.0,80.0,74.0,2765,250.0,100
2026-07-01 18:53:52,card0,67.0,84.0,86.0,2847,352.0,100
2026-07-01 18:53:52,card1,58.0,80.0,74.0,2796,287.0,100
2026-07-01 18:54:22,card0,67.0,85.0,86.0,2880,258.0,100
2026-07-01 18:54:22,card1,58.0,80.0,74.0,2818,301.0,100
2026-07-01 18:54:52,card0,68.0,85.0,86.0,2766,305.0,100
2026-07-01 18:54:52,card1,58.0,80.0,74.0,2734,280.0,100
2026-07-01 18:55:22,card0,68.0,85.0,86.0,3099,169.0,100
2026-07-01 18:55:22,card1,58.0,80.0,74.0,3052,157.0,100
2026-07-01 18:55:52,card0,68.0,85.0,86.0,3093,174.0,100
2026-07-01 18:55:52,card1,58.0,80.0,74.0,3052,158.0,100
2026-07-01 18:56:22,card0,68.0,85.0,86.0,2920,298.0,100
2026-07-01 18:56:22,card1,58.0,80.0,74.0,2807,280.0,100
2026-07-01 18:56:52,card0,68.0,85.0,86.0,2905,309.0,100
2026-07-01 18:56:52,card1,59.0,80.0,74.0,2789,294.0,100
2026-07-01 18:57:22,card0,68.0,85.0,86.0,2865,342.0,100
2026-07-01 18:57:22,card1,58.0,80.0,74.0,2762,294.0,100
2026-07-01 18:57:53,card0,68.0,85.0,86.0,2739,263.0,100
2026-07-01 18:57:53,card1,58.0,80.0,74.0,2732,273.0,100
2026-07-01 18:58:23,card0,68.0,85.0,86.0,2815,329.0,100
2026-07-01 18:58:23,card1,58.0,80.0,74.0,2678,244.0,100
2026-07-01 18:58:53,card0,67.0,85.0,86.0,2858,352.0,100
2026-07-01 18:58:53,card1,58.0,80.0,74.0,2778,311.0,100
2026-07-01 18:59:23,card0,67.0,85.0,86.0,2900,323.0,100
2026-07-01 18:59:23,card1,58.0,80.0,74.0,2765,353.0,100
2026-07-01 18:59:53,card0,68.0,85.0,86.0,2851,368.0,100
2026-07-01 18:59:53,card1,58.0,80.0,74.0,2775,274.0,100
2026-07-01 19:00:23,card0,68.0,85.0,86.0,2891,329.0,100
2026-07-01 19:00:23,card1,58.0,80.0,74.0,2803,310.0,100
2026-07-01 19:00:53,card0,67.0,84.0,86.0,2853,301.0,100
2026-07-01 19:00:53,card1,58.0,80.0,74.0,2774,298.0,100
2026-07-01 19:01:23,card0,68.0,85.0,86.0,3094,169.0,100
2026-07-01 19:01:23,card1,58.0,80.0,74.0,3052,157.0,100
2026-07-01 19:01:54,card0,68.0,85.0,86.0,2905,327.0,100
2026-07-01 19:01:54,card1,58.0,80.0,74.0,2606,301.0,100
2026-07-01 19:02:24,card0,68.0,85.0,86.0,3096,169.0,100
2026-07-01 19:02:24,card1,58.0,80.0,74.0,3052,157.0,100
2026-07-01 19:02:54,card0,67.0,85.0,86.0,2772,278.0,100
2026-07-01 19:02:54,card1,58.0,80.0,74.0,2779,306.0,100
2026-07-01 19:03:24,card0,68.0,85.0,86.0,2948,315.0,100
2026-07-01 19:03:24,card1,58.0,80.0,74.0,2837,287.0,100
2026-07-01 19:03:54,card0,68.0,85.0,86.0,2745,321.0,100
2026-07-01 19:03:54,card1,58.0,80.0,74.0,2747,301.0,100
2026-07-01 19:04:24,card0,68.0,85.0,86.0,2896,289.0,100
2026-07-01 19:04:24,card1,58.0,80.0,74.0,2732,295.0,100
2026-07-01 19:04:54,card0,68.0,85.0,86.0,2735,294.0,100
2026-07-01 19:04:54,card1,58.0,80.0,74.0,2686,268.0,100
2026-07-01 19:05:24,card0,68.0,85.0,86.0,3101,169.0,100
2026-07-01 19:05:24,card1,58.0,80.0,74.0,3052,157.0,100
2026-07-01 19:05:54,card0,68.0,85.0,86.0,3095,174.0,100
2026-07-01 19:05:54,card1,58.0,80.0,74.0,3052,159.0,100
2026-07-01 19:06:25,card0,57.0,64.0,76.0,3122,125.0,100
2026-07-01 19:06:25,card1,50.0,60.0,66.0,0,35.0,0
2026-07-01 19:06:55,card0,61.0,73.0,77.0,3117,120.0,100
2026-07-01 19:06:55,card1,49.0,63.0,66.0,3074,104.0,100
2026-07-01 19:07:25,card0,62.0,75.0,77.0,3117,269.0,100
2026-07-01 19:07:25,card1,48.0,65.0,64.0,3073,149.0,100
2026-07-01 19:07:55,card0,68.0,86.0,85.0,2944,345.0,100
2026-07-01 19:07:55,card1,52.0,75.0,68.0,2862,300.0,100
2026-07-01 19:08:25,card0,66.0,83.0,84.0,2900,373.0,100
2026-07-01 19:08:25,card1,52.0,75.0,69.0,2796,290.0,100
2026-07-01 19:08:55,card0,64.0,82.0,84.0,3006,328.0,100
2026-07-01 19:08:55,card1,53.0,76.0,70.0,2826,307.0,100
2026-07-01 19:09:25,card0,64.0,82.0,84.0,2843,287.0,100
2026-07-01 19:09:25,card1,54.0,77.0,70.0,2630,283.0,100
2026-07-01 19:09:55,card0,65.0,83.0,84.0,2987,409.0,100
2026-07-01 19:09:55,card1,55.0,78.0,72.0,2878,299.0,100
2026-07-01 19:10:25,card0,66.0,84.0,85.0,2820,310.0,100
2026-07-01 19:10:25,card1,55.0,79.0,72.0,2671,298.0,100
2026-07-01 19:10:56,card0,66.0,84.0,85.0,2831,293.0,100
2026-07-01 19:10:56,card1,56.0,79.0,72.0,2659,295.0,100
2026-07-01 19:11:26,card0,66.0,84.0,85.0,2952,371.0,100
2026-07-01 19:11:26,card1,56.0,79.0,72.0,2902,327.0,100
2026-07-01 19:11:56,card0,67.0,85.0,86.0,2913,368.0,100
2026-07-01 19:11:56,card1,56.0,79.0,72.0,2796,323.0,100
2026-07-01 19:12:26,card0,67.0,85.0,86.0,3109,248.0,100
2026-07-01 19:12:26,card1,56.0,79.0,72.0,3067,155.0,100
2026-07-01 19:12:56,card0,67.0,85.0,86.0,2939,314.0,100
2026-07-01 19:12:56,card1,57.0,80.0,73.0,2841,334.0,100
2026-07-01 19:13:26,card0,67.0,85.0,86.0,2927,299.0,100
2026-07-01 19:13:26,card1,57.0,80.0,73.0,2918,335.0,100
2026-07-01 19:13:56,card0,67.0,85.0,86.0,2899,313.0,100
2026-07-01 19:13:56,card1,57.0,80.0,74.0,2753,270.0,100
2026-07-01 19:14:26,card0,67.0,85.0,86.0,2990,291.0,100
2026-07-01 19:14:26,card1,57.0,80.0,74.0,2843,307.0,100
2026-07-01 19:14:57,card0,67.0,85.0,86.0,3105,173.0,100
2026-07-01 19:14:57,card1,57.0,80.0,74.0,3071,163.0,100
