[Epoch 127] lr=0.00017 loss(train_avg)=3.482 val_top1=39722/50000 (0.7944) val_top5=0.9479 val_loss=0.8894  [899.3s train, 17.6s val]
[Epoch 128] lr=0.000169 loss(train_avg)=3.4768 val_top1=39773/50000 (0.7955) val_top5=0.9481 val_loss=0.8866  [900.3s train, 17.6s val]
[Epoch 129] lr=0.000168 loss(train_avg)=3.4967 val_top1=39807/50000 (0.7961) val_top5=0.9486 val_loss=0.8854  [899.4s train, 17.6s val]
[Epoch 130] lr=0.000166 loss(train_avg)=3.4864 val_top1=39795/50000 (0.7959) val_top5=0.9484 val_loss=0.8841  [900.2s train, 17.7s val]
[Epoch 131] lr=0.000165 loss(train_avg)=3.4689 val_top1=39806/50000 (0.7961) val_top5=0.9485 val_loss=0.8828  [899.6s train, 17.6s val]
[Epoch 132] lr=0.000164 loss(train_avg)=3.4624 val_top1=39832/50000 (0.7966) val_top5=0.9482 val_loss=0.8828  [899.3s train, 17.9s val]
[Epoch 133] lr=0.000162 loss(train_avg)=3.4629 val_top1=39866/50000 (0.7973) val_top5=0.9487 val_loss=0.8815  [899.8s train, 17.6s val]
[Epoch 134] lr=0.000161 loss(train_avg)=3.4577 val_top1=39848/50000 (0.797) val_top5=0.9489 val_loss=0.8803  [899.3s train, 17.7s val]
[Epoch 135] lr=0.00016 loss(train_avg)=3.4482 val_top1=39850/50000 (0.797) val_top5=0.9492 val_loss=0.8805  [899.5s train, 17.6s val]
[Epoch 136] lr=0.000158 loss(train_avg)=3.4452 val_top1=39823/50000 (0.7965) val_top5=0.9487 val_loss=0.8803  [899.5s train, 17.7s val]
[Epoch 137] lr=0.000157 loss(train_avg)=3.4388 val_top1=39805/50000 (0.7961) val_top5=0.949 val_loss=0.8784  [899.3s train, 17.6s val]
[Epoch 138] lr=0.000156 loss(train_avg)=3.4362 val_top1=39842/50000 (0.7968) val_top5=0.9493 val_loss=0.8766  [899.2s train, 17.9s val]
[Epoch 139] lr=0.000154 loss(train_avg)=3.451 val_top1=39831/50000 (0.7966) val_top5=0.9493 val_loss=0.875  [899.3s train, 17.6s val]
[Epoch 140] lr=0.000153 loss(train_avg)=3.4448 val_top1=39866/50000 (0.7973) val_top5=0.9498 val_loss=0.8749  [899.4s train, 17.7s val]
[Epoch 141] lr=0.000151 loss(train_avg)=3.4435 val_top1=39861/50000 (0.7972) val_top5=0.9498 val_loss=0.8725  [899.2s train, 17.6s val]
[Epoch 142] lr=0.00015 loss(train_avg)=3.4372 val_top1=39884/50000 (0.7977) val_top5=0.9496 val_loss=0.8711  [899.5s train, 17.6s val]
[Epoch 143] lr=0.000149 loss(train_avg)=3.4351 val_top1=39901/50000 (0.798) val_top5=0.9493 val_loss=0.8714  [899.6s train, 17.8s val]
[Epoch 144] lr=0.000147 loss(train_avg)=3.4274 val_top1=39942/50000 (0.7988) val_top5=0.9495 val_loss=0.871  [899.5s train, 17.6s val]
[Epoch 145] lr=0.000146 loss(train_avg)=3.4138 val_top1=39978/50000 (0.7996) val_top5=0.9491 val_loss=0.8698  [899.6s train, 17.7s val]
[Epoch 146] lr=0.000145 loss(train_avg)=3.4273 val_top1=39966/50000 (0.7993) val_top5=0.9496 val_loss=0.8695  [900.5s train, 17.6s val]
[Epoch 147] lr=0.000143 loss(train_avg)=3.4176 val_top1=39952/50000 (0.799) val_top5=0.9499 val_loss=0.8681  [900.7s train, 17.7s val]
[Epoch 148] lr=0.000142 loss(train_avg)=3.4153 val_top1=39992/50000 (0.7998) val_top5=0.9506 val_loss=0.8667  [900.4s train, 17.6s val]
[Epoch 149] lr=0.00014 loss(train_avg)=3.4209 val_top1=40016/50000 (0.8003) val_top5=0.951 val_loss=0.8653  [900.7s train, 17.8s val]
[Epoch 150] lr=0.000139 loss(train_avg)=3.4041 val_top1=40074/50000 (0.8015) val_top5=0.9505 val_loss=0.8639  [899.6s train, 17.6s val]
[Epoch 151] lr=0.000138 loss(train_avg)=3.3954 val_top1=40088/50000 (0.8018) val_top5=0.9511 val_loss=0.8629  [899.4s train, 17.6s val]
[Epoch 152] lr=0.000136 loss(train_avg)=3.3937 val_top1=40101/50000 (0.802) val_top5=0.9509 val_loss=0.8617  [899.1s train, 17.6s val]
[Epoch 153] lr=0.000135 loss(train_avg)=3.3976 val_top1=40072/50000 (0.8014) val_top5=0.95 val_loss=0.8619  [899.4s train, 17.7s val]
[Epoch 154] lr=0.000133 loss(train_avg)=3.3776 val_top1=40063/50000 (0.8013) val_top5=0.9506 val_loss=0.8611  [899.3s train, 17.6s val]
[Epoch 155] lr=0.000132 loss(train_avg)=3.383 val_top1=40050/50000 (0.801) val_top5=0.9514 val_loss=0.8604  [899.6s train, 17.8s val]
[Epoch 156] lr=0.000131 loss(train_avg)=3.3853 val_top1=40070/50000 (0.8014) val_top5=0.9515 val_loss=0.8597  [899.5s train, 17.6s val]
[Epoch 157] lr=0.000129 loss(train_avg)=3.3762 val_top1=40089/50000 (0.8018) val_top5=0.9512 val_loss=0.8588  [900.5s train, 17.7s val]
[Epoch 158] lr=0.000128 loss(train_avg)=3.3683 val_top1=40106/50000 (0.8021) val_top5=0.9518 val_loss=0.8585  [900.4s train, 17.6s val]
[Epoch 159] lr=0.000126 loss(train_avg)=3.3656 val_top1=40126/50000 (0.8025) val_top5=0.9523 val_loss=0.8569  [899.6s train, 17.6s val]
[Epoch 160] lr=0.000125 loss(train_avg)=3.3595 val_top1=40150/50000 (0.803) val_top5=0.952 val_loss=0.856  [899.5s train, 17.8s val]
[Epoch 161] lr=0.000124 loss(train_avg)=3.3647 val_top1=40170/50000 (0.8034) val_top5=0.9519 val_loss=0.8549  [899.7s train, 17.6s val]
[Epoch 162] lr=0.000122 loss(train_avg)=3.3671 val_top1=40218/50000 (0.8044) val_top5=0.952 val_loss=0.8533  [899.2s train, 17.7s val]
[Epoch 163] lr=0.000121 loss(train_avg)=3.3497 val_top1=40208/50000 (0.8042) val_top5=0.9519 val_loss=0.8517  [899.2s train, 17.6s val]
[Epoch 164] lr=0.000119 loss(train_avg)=3.3425 val_top1=40160/50000 (0.8032) val_top5=0.9518 val_loss=0.8502  [899.2s train, 17.7s val]
[Epoch 165] lr=0.000118 loss(train_avg)=3.3427 val_top1=40180/50000 (0.8036) val_top5=0.9523 val_loss=0.8487  [899.2s train, 17.6s val]
[Epoch 166] lr=0.000117 loss(train_avg)=3.342 val_top1=40183/50000 (0.8037) val_top5=0.9525 val_loss=0.8489  [898.9s train, 17.8s val]
[Epoch 167] lr=0.000115 loss(train_avg)=3.3257 val_top1=40254/50000 (0.8051) val_top5=0.9519 val_loss=0.8485  [899.4s train, 17.6s val]
[Epoch 168] lr=0.000114 loss(train_avg)=3.3413 val_top1=40284/50000 (0.8057) val_top5=0.9521 val_loss=0.8473  [898.9s train, 17.7s val]
[Epoch 169] lr=0.000112 loss(train_avg)=3.3312 val_top1=40268/50000 (0.8054) val_top5=0.9524 val_loss=0.847  [899.1s train, 17.6s val]
[Epoch 170] lr=0.000111 loss(train_avg)=3.3199 val_top1=40251/50000 (0.805) val_top5=0.9521 val_loss=0.847  [899.1s train, 17.7s val]
[Epoch 171] lr=0.00011 loss(train_avg)=3.3047 val_top1=40294/50000 (0.8059) val_top5=0.9529 val_loss=0.8452  [899.0s train, 17.6s val]
