blackjack dqn: 6210 params, 200000 steps, batch 128, double DQN, seed 1
[pjrt_ffi] allocator: 1 create option(s), memory_fraction=0.100
I0911 16:45:55.849046 1907452 service.cc:154] XLA service 0x78e570028880 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
I0911 16:45:55.849076 1907452 service.cc:170]   StreamExecutor [0]: NVIDIA GeForce RTX 4060 Ti, Compute Capability 8.9 (Driver: 12.9.0[575.57.8]; Runtime: 12.9.0; Toolkit: 12.9.0; DNN: 9.23.2)
I0911 16:45:55.850576 1907452 se_gpu_pjrt_client.cc:1342] Using BFC allocator.
I0911 16:45:55.850618 1907452 gpu_helpers.cc:162] XLA backend allocating 1.56GiB (1673527296 bytes) on device 0 for BFCAllocator.
I0911 16:45:55.859511 1907452 cuda_dnn.cc:440] Loaded cuDNN version 92302
[pjrt_ffi] XLA backend: PJRT 0.114, 1 device(s)
[pjrt_ffi] command buffers: enabled (CUDA default)
I0911 16:45:56.789247 1907594 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_10', 4 bytes spill stores, 4 bytes spill loads

[pjrt_ffi] compiled .lake/build/blackjack_dqn_double_train_step.mlir (@main, 19 outputs, 1 replica) in 2594 ms
[pjrt_ffi] compiled .lake/build/blackjack_dqn_double_fwd_eval.mlir (@forward_eval, 1 outputs, 1 replica) in 758 ms
I0911 16:45:59.522839 1907583 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_3', 24 bytes spill stores, 24 bytes spill loads

[pjrt_ffi] compiled .lake/build/blackjack_dqn_double_fwd_eval_all.mlir (@forward_eval, 1 outputs, 1 replica) in 722 ms
  sessions loaded
  update 105000  hands 70576  loss 0.2402  exact -0.0545  agree 179/200  (326972 ms)
  update 106000  hands 71231  loss 0.2371  exact -0.0498  agree 186/200  (330122 ms)
  update 107000  hands 71886  loss 0.2373  exact -0.0523  agree 184/200  (333240 ms)
  update 108000  hands 72527  loss 0.2375  exact -0.0530  agree 183/200  (336373 ms)
  update 109000  hands 73186  loss 0.2368  exact -0.0525  agree 184/200  (339420 ms)
  update 110000  hands 73811  loss 0.2364  exact -0.0556  agree 178/200  (342617 ms)
  update 111000  hands 74456  loss 0.2321  exact -0.0559  agree 182/200  (345644 ms)
  update 112000  hands 75090  loss 0.2335  exact -0.0553  agree 183/200  (348808 ms)
  update 113000  hands 75725  loss 0.2345  exact -0.0514  agree 185/200  (352017 ms)
  update 114000  hands 76373  loss 0.2314  exact -0.0552  agree 182/200  (355088 ms)
  update 115000  hands 77007  loss 0.2346  exact -0.0517  agree 184/200  (358283 ms)
  update 116000  hands 77643  loss 0.2329  exact -0.0566  agree 180/200  (361483 ms)
  update 117000  hands 78291  loss 0.2309  exact -0.0579  agree 180/200  (364643 ms)
  update 118000  hands 78918  loss 0.2333  exact -0.0564  agree 180/200  (367775 ms)
  update 119000  hands 79556  loss 0.2326  exact -0.0576  agree 178/200  (370848 ms)
  update 120000  hands 80214  loss 0.2327  exact -0.0615  agree 173/200  (373886 ms)
  update 121000  hands 80858  loss 0.2310  exact -0.0594  agree 176/200  (377119 ms)
  update 122000  hands 81503  loss 0.2325  exact -0.0605  agree 179/200  (380270 ms)
  update 123000  hands 82156  loss 0.2314  exact -0.0544  agree 179/200  (383406 ms)
  update 124000  hands 82785  loss 0.2298  exact -0.0533  agree 179/200  (386566 ms)
  update 125000  hands 83413  loss 0.2300  exact -0.0530  agree 179/200  (389566 ms)
  update 126000  hands 84062  loss 0.2268  exact -0.0568  agree 177/200  (392739 ms)
  update 127000  hands 84699  loss 0.2305  exact -0.0677  agree 181/200  (395840 ms)
  update 128000  hands 85370  loss 0.2333  exact -0.0705  agree 178/200  (398922 ms)
  update 129000  hands 86021  loss 0.2329  exact -0.0613  agree 179/200  (401952 ms)
  update 130000  hands 86664  loss 0.2340  exact -0.0587  agree 180/200  (405102 ms)
  update 131000  hands 87324  loss 0.2320  exact -0.0659  agree 182/200  (408206 ms)
  update 132000  hands 87968  loss 0.2329  exact -0.0613  agree 180/200  (411356 ms)
  update 133000  hands 88610  loss 0.2323  exact -0.0582  agree 176/200  (414441 ms)
  update 134000  hands 89261  loss 0.2291  exact -0.0578  agree 179/200  (417622 ms)
  update 135000  hands 89901  loss 0.2311  exact -0.0535  agree 182/200  (420722 ms)
  update 136000  hands 90541  loss 0.2324  exact -0.0578  agree 176/200  (423898 ms)
  update 137000  hands 91183  loss 0.2288  exact -0.0540  agree 181/200  (426919 ms)
  update 138000  hands 91836  loss 0.2316  exact -0.0548  agree 182/200  (430040 ms)
  update 139000  hands 92472  loss 0.2346  exact -0.0542  agree 183/200  (433167 ms)
  update 140000  hands 93113  loss 0.2328  exact -0.0525  agree 184/200  (436368 ms)
  update 141000  hands 93760  loss 0.2356  exact -0.0537  agree 181/200  (439535 ms)
  update 142000  hands 94404  loss 0.2333  exact -0.0523  agree 183/200  (442617 ms)
  update 143000  hands 95046  loss 0.2332  exact -0.0557  agree 180/200  (445677 ms)
  update 144000  hands 95705  loss 0.2332  exact -0.0535  agree 182/200  (448895 ms)
  update 145000  hands 96348  loss 0.2348  exact -0.0556  agree 179/200  (451965 ms)
  update 146000  hands 96996  loss 0.2365  exact -0.0562  agree 179/200  (455031 ms)
  update 147000  hands 97631  loss 0.2329  exact -0.0582  agree 179/200  (458154 ms)
  update 148000  hands 98273  loss 0.2328  exact -0.0573  agree 178/200  (461271 ms)
  update 149000  hands 98932  loss 0.2354  exact -0.0569  agree 178/200  (464419 ms)
